aa:meaning ofaa
aboulic:meaning ofaboulic
abound:meaning ofabound
abounded:meaning ofabounded
abounds:meaning ofabounds
about:meaning ofabout
above:meaning ofabove
aboves:meaning ofaboves
abrachia:meaning ofabrachia
abradant:meaning ofabradant
abrade:meaning ofabrade
abraded:meaning ofabraded
abrader:meaning ofabrader
abraders:meaning ofabraders
abrades:meaning ofabrades
abrading:meaning ofabrading
abrasion:meaning ofabrasion
abrasive:meaning ofabrasive
abreact:meaning ofabreact
abreacts:meaning ofabreacts
abreast:meaning ofabreast
abri:meaning ofabri
abridge:meaning ofabridge
abridged:meaning ofabridged
abridger:meaning ofabridger
abridges:meaning ofabridges
abris:meaning ofabris
abroach:meaning ofabroach
abroad:meaning ofabroad
abrogate:meaning ofabrogate
abrosia:meaning ofabrosia
abrosias:meaning ofabrosias
abrupt:meaning ofabrupt
abrupter:meaning ofabrupter
abruptly:meaning ofabruptly
abs:meaning ofabs
abscess:meaning ofabscess
abscise:meaning ofabscise
abscised:meaning ofabscised
abscises:meaning ofabscises
abscisin:meaning ofabscisin
abscissa:meaning ofabscissa
abscond:meaning ofabscond
absconds:meaning ofabsconds
abseil:meaning ofabseil
abseiled:meaning ofabseiled
abseils:meaning ofabseils
absence:meaning ofabsence
absences:meaning ofabsences
absent:meaning ofabsent
absented:meaning ofabsented
absentee:meaning ofabsentee
absenter:meaning ofabsenter
absently:meaning ofabsently
absents:meaning ofabsents
absinth:meaning ofabsinth
absinthe:meaning ofabsinthe
absinths:meaning ofabsinths
absolute:meaning ofabsolute
absolve:meaning ofabsolve
absolved:meaning ofabsolved
absolver:meaning ofabsolver
absolves:meaning ofabsolves
absonant:meaning ofabsonant
absorb:meaning ofabsorb
absorbed:meaning ofabsorbed
absorber:meaning ofabsorber
absorbs:meaning ofabsorbs
abstain:meaning ofabstain
abstains:meaning ofabstains
absterge:meaning ofabsterge
abstract:meaning ofabstract
abstrict:meaning ofabstrict
abstruse:meaning ofabstruse
absurd:meaning ofabsurd
absurder:meaning ofabsurder
absurdly:meaning ofabsurdly
absurds:meaning ofabsurds
abubble:meaning ofabubble
abulia:meaning ofabulia
abulias:meaning ofabulias
abulic:meaning ofabulic
abundant:meaning ofabundant
abusable:meaning ofabusable
abuse:meaning ofabuse
abused:meaning ofabused
abuser:meaning ofabuser
abusers:meaning ofabusers
abuses:meaning ofabuses
abusing:meaning ofabusing
abusive:meaning ofabusive
abut:meaning ofabut
abutilon:meaning ofabutilon
abutment:meaning ofabutment
abuts:meaning ofabuts
abuttal:meaning ofabuttal
abuttals:meaning ofabuttals
abutted:meaning ofabutted
abutter:meaning ofabutter
abutters:meaning ofabutters
abutting:meaning ofabutting
abuzz:meaning ofabuzz
abvolt:meaning ofabvolt
abvolts:meaning ofabvolts
abwatt:meaning ofabwatt
abwatts:meaning ofabwatts
aby:meaning ofaby
abye:meaning ofabye
abyes:meaning ofabyes
abying:meaning ofabying
abys:meaning ofabys
abysm:meaning ofabysm
abysmal:meaning ofabysmal
abysms:meaning ofabysms
abyss:meaning ofabyss
abyssal:meaning ofabyssal
abysses:meaning ofabysses
acacia:meaning ofacacia
acacias:meaning ofacacias
academe:meaning ofacademe
academes:meaning ofacademes
academia:meaning ofacademia
academic:meaning ofacademic
academy:meaning ofacademy
acajou:meaning ofacajou
acajous:meaning ofacajous
acaleph:meaning ofacaleph
acalephe:meaning ofacalephe
acalephs:meaning ofacalephs
acanthi:meaning ofacanthi
acanthus:meaning ofacanthus
acapnia:meaning ofacapnia
acapnias:meaning ofacapnias
acari:meaning ofacari
acarid:meaning ofacarid
acaridan:meaning ofacaridan
acarids:meaning ofacarids
acarine:meaning ofacarine
acarines:meaning ofacarines
acaroid:meaning ofacaroid
acarpous:meaning ofacarpous
acarus:meaning ofacarus
acaudal:meaning ofacaudal
acaudate:meaning ofacaudate
acauline:meaning ofacauline
acaulose:meaning ofacaulose
acaulous:meaning ofacaulous
accede:meaning ofaccede
acceded:meaning ofacceded
acceder:meaning ofacceder
acceders:meaning ofacceders
accedes:meaning ofaccedes
acceding:meaning ofacceding
accent:meaning ofaccent
accented:meaning ofaccented
accentor:meaning ofaccentor
accents:meaning ofaccents
accept:meaning ofaccept
accepted:meaning ofaccepted
acceptee:meaning ofacceptee
accepter:meaning ofaccepter
acceptor:meaning ofacceptor
accepts:meaning ofaccepts
access:meaning ofaccess
accessed:meaning ofaccessed
accesses:meaning ofaccesses
accident:meaning ofaccident
accidia:meaning ofaccidia
accidias:meaning ofaccidias
accidie:meaning ofaccidie
accidies:meaning ofaccidies
acclaim:meaning ofacclaim
acclaims:meaning ofacclaims
accolade:meaning ofaccolade
accord:meaning ofaccord
accorded:meaning ofaccorded
accorder:meaning ofaccorder
accords:meaning ofaccords
accost:meaning ofaccost
accosted:meaning ofaccosted
accosts:meaning ofaccosts
account:meaning ofaccount
accounts:meaning ofaccounts
accouter:meaning ofaccouter
accoutre:meaning ofaccoutre
accredit:meaning ofaccredit
accrete:meaning ofaccrete
accreted:meaning ofaccreted
accretes:meaning ofaccretes
accrual:meaning ofaccrual
accruals:meaning ofaccruals
accrue:meaning ofaccrue
accrued:meaning ofaccrued
accrues:meaning ofaccrues
accruing:meaning ofaccruing
accuracy:meaning ofaccuracy
accurate:meaning ofaccurate
accursed:meaning ofaccursed
accurst:meaning ofaccurst
accusal:meaning ofaccusal
accusals:meaning ofaccusals
accusant:meaning ofaccusant
accuse:meaning ofaccuse
accused:meaning ofaccused
accuser:meaning ofaccuser
accusers:meaning ofaccusers
accuses:meaning ofaccuses
accusing:meaning ofaccusing
accustom:meaning ofaccustom
ace:meaning oface
aced:meaning ofaced
acedia:meaning ofacedia
acedias:meaning ofacedias
aceldama:meaning ofaceldama
acentric:meaning ofacentric
acequia:meaning ofacequia
acequias:meaning ofacequias
acerate:meaning ofacerate
acerated:meaning ofacerated
acerb:meaning ofacerb
acerbate:meaning ofacerbate
acerber:meaning ofacerber
acerbest:meaning ofacerbest
acerbic:meaning ofacerbic
acerbity:meaning ofacerbity
acerola:meaning ofacerola
acerolas:meaning ofacerolas
acerose:meaning ofacerose
acerous:meaning ofacerous
acervate:meaning ofacervate
acervuli:meaning ofacervuli
aces:meaning ofaces
acescent:meaning ofacescent
aceta:meaning ofaceta
acetal:meaning ofacetal
acetals:meaning ofacetals
acetamid:meaning ofacetamid
acetate:meaning ofacetate
acetated:meaning ofacetated
acetates:meaning ofacetates
acetic:meaning ofacetic
acetify:meaning ofacetify
acetin:meaning ofacetin
acetins:meaning ofacetins
acetone:meaning ofacetone
acetones:meaning ofacetones
acetonic:meaning ofacetonic
acetose:meaning ofacetose
acetous:meaning ofacetous
acetoxyl:meaning ofacetoxyl
acetum:meaning ofacetum
acetyl:meaning ofacetyl
acetylic:meaning ofacetylic
acetyls:meaning ofacetyls
ache:meaning ofache
ached:meaning ofached
achene:meaning ofachene
achenes:meaning ofachenes
achenial:meaning ofachenial
aches:meaning ofaches
achier:meaning ofachier
achiest:meaning ofachiest
achieve:meaning ofachieve
achieved:meaning ofachieved
achiever:meaning ofachiever
achieves:meaning ofachieves
achillea:meaning ofachillea
achiness:meaning ofachiness
aching:meaning ofaching
achingly:meaning ofachingly
achiote:meaning ofachiote
achiotes:meaning ofachiotes
acholia:meaning ofacholia
acholias:meaning ofacholias
achoo:meaning ofachoo
achromat:meaning ofachromat
achromic:meaning ofachromic
achy:meaning ofachy
acicula:meaning ofacicula
aciculae:meaning ofaciculae
acicular:meaning ofacicular
aciculas:meaning ofaciculas
aciculum:meaning ofaciculum
acid:meaning ofacid
acidemia:meaning ofacidemia
acidhead:meaning ofacidhead
acidic:meaning ofacidic
acidify:meaning ofacidify
acidity:meaning ofacidity
acidly:meaning ofacidly
acidness:meaning ofacidness
acidoses:meaning ofacidoses
acidosis:meaning ofacidosis
acidotic:meaning ofacidotic
acids:meaning ofacids
aciduria:meaning ofaciduria
acidy:meaning ofacidy
acierate:meaning ofacierate
aciform:meaning ofaciform
acinar:meaning ofacinar
acing:meaning ofacing
acini:meaning ofacini
acinic:meaning ofacinic
acinose:meaning ofacinose
acinous:meaning ofacinous
acinus:meaning ofacinus
ackee:meaning ofackee
ackees:meaning ofackees
aclinic:meaning ofaclinic
acmatic:meaning ofacmatic
acme:meaning ofacme
acmes:meaning ofacmes
acmic:meaning ofacmic
acne:meaning ofacne
acned:meaning ofacned
acnes:meaning ofacnes
acnode:meaning ofacnode
acnodes:meaning ofacnodes
acock:meaning ofacock
acold:meaning ofacold
acolyte:meaning ofacolyte
acolytes:meaning ofacolytes
aconite:meaning ofaconite
aconites:meaning ofaconites
aconitic:meaning ofaconitic
aconitum:meaning ofaconitum
acorn:meaning ofacorn
acorns:meaning ofacorns
acoustic:meaning ofacoustic
acquaint:meaning ofacquaint
acquest:meaning ofacquest
acquests:meaning ofacquests
acquire:meaning ofacquire
acquired:meaning ofacquired
acquirer:meaning ofacquirer
acquires:meaning ofacquires
acquit:meaning ofacquit
acquits:meaning ofacquits
acrasia:meaning ofacrasia
acrasias:meaning ofacrasias
acrasin:meaning ofacrasin
acrasins:meaning ofacrasins
acre:meaning ofacre
acreage:meaning ofacreage
acreages:meaning ofacreages
acred:meaning ofacred
acres:meaning ofacres
acrid:meaning ofacrid
acrider:meaning ofacrider
acridest:meaning ofacridest
acridine:meaning ofacridine
acridity:meaning ofacridity
acridly:meaning ofacridly
acrimony:meaning ofacrimony
acrobat:meaning ofacrobat
acrobats:meaning ofacrobats
acrodont:meaning ofacrodont
acrogen:meaning ofacrogen
acrogens:meaning ofacrogens
acrolect:meaning ofacrolect
acrolein:meaning ofacrolein
acrolith:meaning ofacrolith
acromia:meaning ofacromia
acromial:meaning ofacromial
acromion:meaning ofacromion
acronic:meaning ofacronic
acronym:meaning ofacronym
acronyms:meaning ofacronyms
acrosome:meaning ofacrosome
across:meaning ofacross
acrostic:meaning ofacrostic
acrotic:meaning ofacrotic
acrotism:meaning ofacrotism
acrylate:meaning ofacrylate
acrylic:meaning ofacrylic
acrylics:meaning ofacrylics
act:meaning ofact
acta:meaning ofacta
actable:meaning ofactable
acted:meaning ofacted
actin:meaning ofactin
actinal:meaning ofactinal
acting:meaning ofacting
actings:meaning ofactings
actinia:meaning ofactinia
actiniae:meaning ofactiniae
actinian:meaning ofactinian
actinias:meaning ofactinias
actinic:meaning ofactinic
actinide:meaning ofactinide
actinism:meaning ofactinism
actinium:meaning ofactinium
actinoid:meaning ofactinoid
actinon:meaning ofactinon
actinons:meaning ofactinons
actins:meaning ofactins
action:meaning ofaction
actions:meaning ofactions
activate:meaning ofactivate
active:meaning ofactive
actively:meaning ofactively
actives:meaning ofactives
activism:meaning ofactivism
activist:meaning ofactivist
activity:meaning ofactivity
activize:meaning ofactivize
actor:meaning ofactor
actorish:meaning ofactorish
actors:meaning ofactors
actress:meaning ofactress
actressy:meaning ofactressy
acts:meaning ofacts
actual:meaning ofactual
actually:meaning ofactually
actuary:meaning ofactuary
actuate:meaning ofactuate
actuated:meaning ofactuated
actuates:meaning ofactuates
actuator:meaning ofactuator
acuate:meaning ofacuate
acuities:meaning ofacuities
acuity:meaning ofacuity
aculeate:meaning ofaculeate
aculei:meaning ofaculei
aculeus:meaning ofaculeus
acumen:meaning ofacumen
acumens:meaning ofacumens
acutance:meaning ofacutance
acute:meaning ofacute
acutely:meaning ofacutely
acuter:meaning ofacuter
acutes:meaning ofacutes
acutest:meaning ofacutest
acyclic:meaning ofacyclic
acyl:meaning ofacyl
acylate:meaning ofacylate
acylated:meaning ofacylated
acylates:meaning ofacylates
acyloin:meaning ofacyloin
acyloins:meaning ofacyloins
acyls:meaning ofacyls
ad:meaning ofad
adage:meaning ofadage
adages:meaning ofadages
adagial:meaning ofadagial
adagio:meaning ofadagio
adagios:meaning ofadagios
adamance:meaning ofadamance
adamancy:meaning ofadamancy
adamant:meaning ofadamant
adamants:meaning ofadamants
adamsite:meaning ofadamsite
adapt:meaning ofadapt
adapted:meaning ofadapted
adapter:meaning ofadapter
adapters:meaning ofadapters
adapting:meaning ofadapting
adaption:meaning ofadaption
adaptive:meaning ofadaptive
adaptor:meaning ofadaptor
adaptors:meaning ofadaptors
adapts:meaning ofadapts
adaxial:meaning ofadaxial
add:meaning ofadd
addable:meaning ofaddable
addax:meaning ofaddax
addaxes:meaning ofaddaxes
added:meaning ofadded
addedly:meaning ofaddedly
addend:meaning ofaddend
addenda:meaning ofaddenda
addends:meaning ofaddends
addendum:meaning ofaddendum
adder:meaning ofadder
adders:meaning ofadders
addible:meaning ofaddible
addict:meaning ofaddict
addicted:meaning ofaddicted
addicts:meaning ofaddicts
adding:meaning ofadding
addition:meaning ofaddition
additive:meaning ofadditive
additory:meaning ofadditory
addle:meaning ofaddle
addled:meaning ofaddled
addles:meaning ofaddles
addling:meaning ofaddling
address:meaning ofaddress
addrest:meaning ofaddrest
adds:meaning ofadds
adduce:meaning ofadduce
adduced:meaning ofadduced
adducent:meaning ofadducent
adducer:meaning ofadducer
adducers:meaning ofadducers
adduces:meaning ofadduces
adducing:meaning ofadducing
adduct:meaning ofadduct
adducted:meaning ofadducted
adductor:meaning ofadductor
adducts:meaning ofadducts
adeem:meaning ofadeem
adeemed:meaning ofadeemed
adeeming:meaning ofadeeming
adeems:meaning ofadeems
adenine:meaning ofadenine
adenines:meaning ofadenines
adenitis:meaning ofadenitis
adenoid:meaning ofadenoid
adenoids:meaning ofadenoids
adenoma:meaning ofadenoma
adenomas:meaning ofadenomas
adenoses:meaning ofadenoses
adenosis:meaning ofadenosis
adenyl:meaning ofadenyl
adenyls:meaning ofadenyls
adept:meaning ofadept
adepter:meaning ofadepter
adeptest:meaning ofadeptest
adeptly:meaning ofadeptly
adepts:meaning ofadepts
adequacy:meaning ofadequacy
adequate:meaning ofadequate
adhere:meaning ofadhere
adhered:meaning ofadhered
adherend:meaning ofadherend
adherent:meaning ofadherent
adherer:meaning ofadherer
adherers:meaning ofadherers
adheres:meaning ofadheres
adhering:meaning ofadhering
adhesion:meaning ofadhesion
adhesive:meaning ofadhesive
adhibit:meaning ofadhibit
adhibits:meaning ofadhibits
adieu:meaning ofadieu
adieus:meaning ofadieus
adieux:meaning ofadieux
adios:meaning ofadios
adipic:meaning ofadipic
adipose:meaning ofadipose
adiposes:meaning ofadiposes
adiposis:meaning ofadiposis
adipous:meaning ofadipous
adit:meaning ofadit
adits:meaning ofadits
adjacent:meaning ofadjacent
adjoin:meaning ofadjoin
adjoined:meaning ofadjoined
adjoins:meaning ofadjoins
adjoint:meaning ofadjoint
adjoints:meaning ofadjoints
adjourn:meaning ofadjourn
adjourns:meaning ofadjourns
adjudge:meaning ofadjudge
adjudged:meaning ofadjudged
adjudges:meaning ofadjudges
adjunct:meaning ofadjunct
adjuncts:meaning ofadjuncts
adjure:meaning ofadjure
adjured:meaning ofadjured
adjurer:meaning ofadjurer
adjurers:meaning ofadjurers
adjures:meaning ofadjures
adjuring:meaning ofadjuring
adjuror:meaning ofadjuror
adjurors:meaning ofadjurors
adjust:meaning ofadjust
adjusted:meaning ofadjusted
adjuster:meaning ofadjuster
adjustor:meaning ofadjustor
adjusts:meaning ofadjusts
adjutant:meaning ofadjutant
adjuvant:meaning ofadjuvant
adman:meaning ofadman
admass:meaning ofadmass
admen:meaning ofadmen
admiral:meaning ofadmiral
admirals:meaning ofadmirals
admire:meaning ofadmire
admired:meaning ofadmired
admirer:meaning ofadmirer
admirers:meaning ofadmirers
admires:meaning ofadmires
admiring:meaning ofadmiring
admit:meaning ofadmit
admits:meaning ofadmits
admitted:meaning ofadmitted
admitter:meaning ofadmitter
admix:meaning ofadmix
admixed:meaning ofadmixed
admixes:meaning ofadmixes
admixing:meaning ofadmixing
admixt:meaning ofadmixt
admonish:meaning ofadmonish
adnate:meaning ofadnate
adnation:meaning ofadnation
adnexa:meaning ofadnexa
adnexal:meaning ofadnexal
adnoun:meaning ofadnoun
adnouns:meaning ofadnouns
ado:meaning ofado
adobe:meaning ofadobe
adobes:meaning ofadobes
adobo:meaning ofadobo
adobos:meaning ofadobos
adonis:meaning ofadonis
adonises:meaning ofadonises
adopt:meaning ofadopt
adopted:meaning ofadopted
adoptee:meaning ofadoptee
adoptees:meaning ofadoptees
adopter:meaning ofadopter
adopters:meaning ofadopters
adopting:meaning ofadopting
adoption:meaning ofadoption
adoptive:meaning ofadoptive
adopts:meaning ofadopts
adorable:meaning ofadorable
adorably:meaning ofadorably
adore:meaning ofadore
adored:meaning ofadored
adorer:meaning ofadorer
adorers:meaning ofadorers
adores:meaning ofadores
adoring:meaning ofadoring
adorn:meaning ofadorn
adorned:meaning ofadorned
adorner:meaning ofadorner
adorners:meaning ofadorners
adorning:meaning ofadorning
adorns:meaning ofadorns
ados:meaning ofados
adown:meaning ofadown
adoze:meaning ofadoze
adrenal:meaning ofadrenal
adrenals:meaning ofadrenals
adrift:meaning ofadrift
adroit:meaning ofadroit
adroiter:meaning ofadroiter
adroitly:meaning ofadroitly
ads:meaning ofads
adscript:meaning ofadscript
adsorb:meaning ofadsorb
adsorbed:meaning ofadsorbed
adsorber:meaning ofadsorber
adsorbs:meaning ofadsorbs
adularia:meaning ofadularia
adulate:meaning ofadulate
adulated:meaning ofadulated
adulates:meaning ofadulates
adulator:meaning ofadulator
adult:meaning ofadult
adultery:meaning ofadultery
adultly:meaning ofadultly
adults:meaning ofadults
adumbral:meaning ofadumbral
adunc:meaning ofadunc
aduncate:meaning ofaduncate
aduncous:meaning ofaduncous
adust:meaning ofadust
advance:meaning ofadvance
advanced:meaning ofadvanced
advancer:meaning ofadvancer
advances:meaning ofadvances
advect:meaning ofadvect
advected:meaning ofadvected
advects:meaning ofadvects
advent:meaning ofadvent
advents:meaning ofadvents
adverb:meaning ofadverb
adverbs:meaning ofadverbs
adverse:meaning ofadverse
advert:meaning ofadvert
adverted:meaning ofadverted
adverts:meaning ofadverts
advice:meaning ofadvice
advices:meaning ofadvices
advise:meaning ofadvise
advised:meaning ofadvised
advisee:meaning ofadvisee
advisees:meaning ofadvisees
adviser:meaning ofadviser
advisers:meaning ofadvisers
advises:meaning ofadvises
advising:meaning ofadvising
advisor:meaning ofadvisor
advisors:meaning ofadvisors
advisory:meaning ofadvisory
advocacy:meaning ofadvocacy
advocate:meaning ofadvocate
advowson:meaning ofadvowson
adynamia:meaning ofadynamia
adynamic:meaning ofadynamic
adyta:meaning ofadyta
adytum:meaning ofadytum
adz:meaning ofadz
adze:meaning ofadze
adzes:meaning ofadzes
adzuki:meaning ofadzuki
adzukis:meaning ofadzukis
ae:meaning ofae
aecia:meaning ofaecia
aecial:meaning ofaecial
aecidia:meaning ofaecidia
aecidial:meaning ofaecidial
aecidium:meaning ofaecidium
aecium:meaning ofaecium
aedes:meaning ofaedes
aedile:meaning ofaedile
aediles:meaning ofaediles
aedine:meaning ofaedine
aegis:meaning ofaegis
aegises:meaning ofaegises
aeneous:meaning ofaeneous
aeneus:meaning ofaeneus
aeolian:meaning ofaeolian
aeon:meaning ofaeon
aeonian:meaning ofaeonian
aeonic:meaning ofaeonic
aeons:meaning ofaeons
aequorin:meaning ofaequorin
aerate:meaning ofaerate
aerated:meaning ofaerated
aerates:meaning ofaerates
aerating:meaning ofaerating
aeration:meaning ofaeration
aerator:meaning ofaerator
aerators:meaning ofaerators
aerial:meaning ofaerial
aerially:meaning ofaerially
aerials:meaning ofaerials
aerie:meaning ofaerie
aeried:meaning ofaeried
aerier:meaning ofaerier
aeries:meaning ofaeries
aeriest:meaning ofaeriest
aerified:meaning ofaerified
aerifies:meaning ofaerifies
aeriform:meaning ofaeriform
aerify:meaning ofaerify
aerily:meaning ofaerily
aero:meaning ofaero
aerobe:meaning ofaerobe
aerobes:meaning ofaerobes
aerobia:meaning ofaerobia
aerobic:meaning ofaerobic
aerobics:meaning ofaerobics
aerobium:meaning ofaerobium
aeroduct:meaning ofaeroduct
aerodyne:meaning ofaerodyne
aerofoil:meaning ofaerofoil
aerogel:meaning ofaerogel
aerogels:meaning ofaerogels
aerogram:meaning ofaerogram
aerolite:meaning ofaerolite
aerolith:meaning ofaerolith
aerology:meaning ofaerology
aeronaut:meaning ofaeronaut
aeronomy:meaning ofaeronomy
aerosat:meaning ofaerosat
aerosats:meaning ofaerosats
aerosol:meaning ofaerosol
aerosols:meaning ofaerosols
aerostat:meaning ofaerostat
aerugo:meaning ofaerugo
aerugos:meaning ofaerugos
aery:meaning ofaery
aesthete:meaning ofaesthete
aestival:meaning ofaestival
aether:meaning ofaether
aetheric:meaning ofaetheric
aethers:meaning ofaethers
afar:meaning ofafar
afars:meaning ofafars
afeard:meaning ofafeard
afeared:meaning ofafeared
afebrile:meaning ofafebrile
aff:meaning ofaff
affable:meaning ofaffable
affably:meaning ofaffably
affair:meaning ofaffair
affaire:meaning ofaffaire
affaires:meaning ofaffaires
affairs:meaning ofaffairs
affect:meaning ofaffect
affected:meaning ofaffected
affecter:meaning ofaffecter
affects:meaning ofaffects
afferent:meaning ofafferent
affiance:meaning ofaffiance
affiant:meaning ofaffiant
affiants:meaning ofaffiants
affiche:meaning ofaffiche
affiches:meaning ofaffiches
affinal:meaning ofaffinal
affine:meaning ofaffine
affined:meaning ofaffined
affinely:meaning ofaffinely
affines:meaning ofaffines
affinity:meaning ofaffinity
affirm:meaning ofaffirm
affirmed:meaning ofaffirmed
affirmer:meaning ofaffirmer
affirms:meaning ofaffirms
affix:meaning ofaffix
affixal:meaning ofaffixal
affixed:meaning ofaffixed
affixer:meaning ofaffixer
affixers:meaning ofaffixers
affixes:meaning ofaffixes
affixial:meaning ofaffixial
affixing:meaning ofaffixing
afflatus:meaning ofafflatus
afflict:meaning ofafflict
afflicts:meaning ofafflicts
affluent:meaning ofaffluent
afflux:meaning ofafflux
affluxes:meaning ofaffluxes
afford:meaning ofafford
afforded:meaning ofafforded
affords:meaning ofaffords
afforest:meaning ofafforest
affray:meaning ofaffray
affrayed:meaning ofaffrayed
affrayer:meaning ofaffrayer
affrays:meaning ofaffrays
affright:meaning ofaffright
affront:meaning ofaffront
affronts:meaning ofaffronts
affusion:meaning ofaffusion
afghan:meaning ofafghan
afghani:meaning ofafghani
afghanis:meaning ofafghanis
afghans:meaning ofafghans
afield:meaning ofafield
afire:meaning ofafire
aflame:meaning ofaflame
afloat:meaning ofafloat
aflutter:meaning ofaflutter
afoot:meaning ofafoot
afore:meaning ofafore
